/////////////////// START ///////////////////
///// 2019/10/26 1:33:30 PM
///// recurrent/Log(Feelr#=9len50;NN-w=0,8socC=0,9cognC=0,7;#recur=3;#hid=20)
21.22;0
21.22;895.0822
34.3;895.0822
34.3;7239.807
50.64;7239.807
50.64;7432.011
57.56;7432.011
57.56;12285.39
59.8;12285.39
59.8;34618.27
112.42;34618.27
112.42;49345.29
135.38;49345.29
135.38;69819.71
142.14;69819.71
142.14;71869.24
167.74;71869.24
167.74;73058.09
172.28;73058.09
172.28;75332.34
221.24;75332.34
231.08;75332.34
231.08;75458.11
289.44;75458.11
289.44;78805.01
321.66;78805.01
321.66;84611.79
343.3;84611.79
343.3;89209.81
421.26;89209.81
427.9;89209.81
427.9;95359.13
621.28;95359.13
///////////////////  END  ///////////////////
